city,m_c
alexandria,8787.878787878788
aswan,5769.2307692307695
asyut,11000.0
beheira,6132.075471698113
beni suef,5093.240093240092
cairo,11653.846153846154
dakahlia,8687.5
damietta,7022.471910112359
gharbia,7772.020725388601
giza,8518.518518518518
ismailia,6833.333333333333
kafr al-sheikh,12785.185185185184
matruh,5951.963241436926
minya,8500.0
monufia,5300.0
port said,6666.666666666667
qalyubia,4500.0
qena,5769.2307692307695
red sea,10625.0
sharqia,4407.407407407407
south sinai,9642.857142857143
suez,13068.711656441717
